학년도,시도,학업중단자 총계,초등학교,,,중학교,,,,,,,,고등학교,,,,,,,,,,,,,,
,,,계,유예,면제,계,2003년 이후 기준,,2002년까지의 기준,,,,,계,유예,면제,자퇴(~2011학년도까지의 기준),,,,,자퇴(2012학년도 이후 기준),,,,,퇴학,제적
,,,,,,,유예,면제,질병,부적응,품행,가사,기타,,,,질병,부적응,품행,가사,기타,질병,가사,부적응,해외출국,기타,,
2015,광주,1386,292,174,118,274,254,20,0,0,0,0,0,820,3,0,0,0,0,0,0,29,12,310,106,316,8,36
2016,광주,1449,398,212,186,235,204,31,0,0,0,0,0,816,1,0,0,0,0,0,0,52,6,253,89,368,17,30
2017,광주,1405,346,208,138,239,207,32,0,0,0,0,0,820,4,0,0,0,0,0,0,30,5,285,74,376,39,7
2018,광주,1390,407,236,171,214,181,33,0,0,0,0,0,769,0,0,0,0,0,0,0,29,7,242,76,371,40,4
2019,광주,1388,458,266,192,189,152,37,0,0,0,0,0,741,2,0,0,0,0,0,0,44,3,244,74,344,30,0
1999,대전,2454,370,370,0,580,0,0,21,244,23,123,169,1504,0,0,88,661,82,501,172,0,0,0,0,0,0,0
2000,대전,2956,521,521,0,684,0,0,36,250,25,118,255,1751,0,0,84,645,20,648,354,0,0,0,0,0,0,0
2001,대전,2866,517,517,0,708,0,0,47,181,17,116,347,1641,0,0,69,589,63,523,397,0,0,0,0,0,0,0
2002,대전,2535,570,570,0,581,0,0,29,125,48,80,299,1384,0,0,68,368,79,477,392,0,0,0,0,0,0,0
2003,대전,2245,791,785,6,401,366,35,0,0,0,0,0,1053,0,0,51,410,42,287,263,0,0,0,0,0,0,0
2004,대전,1965,645,644,1,525,484,41,0,0,0,0,0,795,0,0,42,422,17,189,125,0,0,0,0,0,0,0
2005,대전,1863,607,603,4,448,426,22,0,0,0,0,0,808,0,0,48,345,30,158,227,0,0,0,0,0,0,0
2006,대전,2413,906,903,3,528,514,14,0,0,0,0,0,979,0,0,63,392,38,259,227,0,0,0,0,0,0,0
2007,대전,2582,715,710,5,651,637,14,0,0,0,0,0,1216,0,0,98,521,27,302,268,0,0,0,0,0,0,0
2008,대전,2347,561,541,20,576,570,6,0,0,0,0,0,1210,0,0,80,535,23,299,273,0,0,0,0,0,0,0
2009,대전,2105,372,356,16,499,488,11,0,0,0,0,0,1234,0,0,84,515,11,267,357,0,0,0,0,0,0,0
2010,대전,2845,662,507,155,586,507,79,0,0,0,0,0,1597,0,0,105,705,18,212,557,0,0,0,0,0,0,0
2011,대전,2853,688,477,211,590,483,107,0,0,0,0,0,1575,0,0,74,699,9,65,728,0,0,0,0,0,0,0
2012,대전,2554,615,311,304,633,542,91,0,0,0,0,0,1306,26,0,0,0,0,0,0,55,34,662,173,328,28,0
2013,대전,2279,746,423,323,538,431,107,0,0,0,0,0,995,2,1,0,0,0,0,0,43,33,528,136,210,37,5
2014,대전,1931,670,307,363,441,358,83,0,0,0,0,0,820,3,0,0,0,0,0,0,51,10,257,107,296,94,2
2015,대전,1580,529,257,272,305,232,73,0,0,0,0,0,746,3,0,0,0,0,0,0,38,10,279,121,246,49,0
2016,대전,1657,608,285,323,322,242,80,0,0,0,0,0,727,2,1,0,0,0,0,0,48,6,247,127,264,31,1
2017,대전,1592,555,250,305,288,202,86,0,0,0,0,0,749,0,0,0,0,0,0,0,58,6,187,113,334,50,1
2018,대전,1632,553,232,321,304,239,65,0,0,0,0,0,775,3,0,0,0,0,0,0,68,3,161,100,417,23,0
2019,대전,1597,575,221,354,275,190,85,0,0,0,0,0,747,2,0,0,0,0,0,0,51,4,209,85,379,17,0
1999,울산,1520,215,215,0,295,0,0,15,135,9,65,71,1010,0,0,28,323,24,568,67,0,0,0,0,0,0,0
2000,울산,1760,366,366,0,326,0,0,20,149,12,82,63,1068,0,0,30,487,53,437,61,0,0,0,0,0,0,0
2001,울산,1697,255,255,0,296,0,0,22,134,6,58,76,1146,0,0,28,349,70,546,153,0,0,0,0,0,0,0
2002,울산,1431,362,362,0,272,0,0,21,99,10,35,107,797,0,0,20,267,60,356,94,0,0,0,0,0,0,0
2003,울산,1470,616,612,4,230,188,42,0,0,0,0,0,624,0,0,21,174,21,301,107,0,0,0,0,0,0,0
2004,울산,1089,404,402,2,220,201,19,0,0,0,0,0,465,0,0,24,228,8,148,57,0,0,0,0,0,0,0
2005,울산,1109,381,379,2,240,222,18,0,0,0,0,0,488,0,0,28,161,4,165,130,0,0,0,0,0,0,0
2006,울산,1454,489,478,11,270,245,25,0,0,0,0,0,695,0,0,46,306,20,195,128,0,0,0,0,0,0,0
2007,울산,1506,495,487,8,353,334,19,0,0,0,0,0,658,0,0,29,298,17,210,104,0,0,0,0,0,0,0
2008,울산,1521,367,357,10,325,311,14,0,0,0,0,0,829,0,0,38,513,5,197,76,0,0,0,0,0,0,0
2009,울산,1268,180,178,2,320,311,9,0,0,0,0,0,768,0,0,39,396,2,242,89,0,0,0,0,0,0,0
