학년도,시도,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수
학년도,시도,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교
학년도,시도,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,일반계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고
2010,전북,0.9,0.3,0.7,2,0,0,0,0,0,0,2394,365,550,1479,0,0,786,82,574,37,279160,126869,76583,75708,50620,25088,0,0,0,0
2011,전북,0.9,0.4,0.7,1.8,0,0,1.5,2.1,3.6,0.7,2312,429,494,1389,0,0,823,70,466,30,269784,119592,74593,75599,0,0,55266,3263,13034,4036
2012,전북,0.8,0.3,0.6,1.6,0,0,1.3,1.6,3.1,0.7,2009,342,453,1214,0,0,729,46,412,27,259686,112640,72040,75006,0,0,54839,2942,13231,3994
2013,전북,0.7,0.3,0.5,1.5,0,0,1.2,1.5,3.1,0.6,1827,297,382,1148,0,0,665,44,414,25,250358,105135,70602,74621,0,0,54431,2979,13214,3997
2014,전북,0.6,0.3,0.5,1.3,0,0,1.1,1.4,2.2,0.3,1537,282,308,947,0,0,593,43,300,11,242475,101860,67182,73433,0,0,52423,3109,13872,4029
2015,전북,0.6,0.3,0.4,1.2,0,0,1.1,1.2,1.8,0.5,1381,257,274,850,0,0,555,38,242,15,234248,100260,62444,71544,0,0,52137,3141,13402,2864
2016,전북,0.6,0.2,0.4,1.2,0,0,1.1,1.4,1.7,0.6,1341,243,244,854,0,0,568,44,223,19,225267,97895,56923,70449,0,0,51279,3142,13083,2945
2017,전북,0.6,0.3,0.5,1.3,0,0,1,1.5,2.3,0.6,1355,264,240,851,0,0,506,51,277,17,217835,97383,53303,67149,0,0,48853,3385,11938,2973
2018,전북,0.7,0.3,0.4,1.5,0,0,1.1,1.6,3,0.8,1423,297,217,909,0,0,508,52,325,24,210819,97606,50859,62354,0,0,45568,3177,10766,2843
2019,전북,0.6,0.2,0.4,1.6,0,0,1.3,1.6,3.1,0.1,1307,219,206,882,0,0,541,48,291,2,203148,97731,48648,56769,0,0,41946,2951,9259,2613
1999,전남,1,0.3,0.6,2.3,1.1,3.8,0,0,0,0,3470,410,546,2514,642,1872,0,0,0,0,355024,162154,84268,108602,59640,48962,0,0,0,0
2000,전남,1,0.2,0.7,2.6,1.3,4.4,0,0,0,0,3473,363,566,2544,720,1824,0,0,0,0,341147,163677,79535,97935,56153,41782,0,0,0,0
2001,전남,1,0.2,0.6,2.6,1.4,4.4,0,0,0,0,3094,395,450,2249,742,1507,0,0,0,0,325666,164231,74918,86517,52011,34506,0,0,0,0
2002,전남,0.8,0.3,0.5,2.2,1.2,3.7,0,0,0,0,2540,474,392,1674,561,1113,0,0,0,0,314897,164722,72478,77697,47918,29779,0,0,0,0
2003,전남,0.9,0.7,0.7,1.8,0.9,3.3,0,0,0,0,2907,1130,476,1301,392,909,0,0,0,0,308210,164606,70707,72897,45137,27760,0,0,0,0
2004,전남,0.6,0.2,0.6,1.6,0.9,2.9,0,0,0,0,1927,379,422,1126,377,749,0,0,0,0,301834,161187,71739,68908,43410,25498,0,0,0,0
2005,전남,0.6,0.2,0.6,1.6,0.9,2.9,0,0,0,0,1832,346,409,1077,388,689,0,0,0,0,298101,156686,74105,67310,43440,23870,0,0,0,0
2006,전남,0.7,0.2,0.6,1.9,1,3.6,0,0,0,0,2088,379,443,1266,442,824,0,0,0,0,294997,152538,76075,66384,43228,23156,0,0,0,0
2007,전남,0.8,0.3,0.6,2.1,1.2,4,0,0,0,0,2395,458,488,1449,517,932,0,0,0,0,292420,148376,76055,67989,44607,23382,0,0,0,0
2008,전남,0.9,0.3,0.7,2.2,1.2,4.3,0,0,0,0,2467,363,524,1580,568,1012,0,0,0,0,287148,141424,75460,70264,46695,23569,0,0,0,0
2009,전남,0.8,0.2,0.7,2.1,1.1,4.1,0,0,0,0,2225,243,492,1490,529,961,0,0,0,0,279890,132503,75119,72268,48709,23559,0,0,0,0
2010,전남,0.8,0.2,0.7,2,0,0,0,0,0,0,2187,240,505,1442,0,0,601,27,789,25,270656,123912,74251,72493,49220,23273,0,0,0,0
2011,전남,0.9,0.3,0.6,2.1,0,0,1.1,2,4.8,1.5,2226,300,440,1486,0,0,543,29,864,50,259737,115550,71837,72350,0,0,49765,1477,17865,3243
2012,전남,0.8,0.2,0.5,1.8,0,0,1.1,4.6,3.8,0.8,1932,230,373,1329,0,0,499,71,715,44,248886,107133,69647,72106,0,0,46561,1531,18603,5411
2013,전남,0.7,0.2,0.5,1.7,0,0,1,3,3.3,0.8,1733,204,340,1189,0,0,463,73,595,58,238884,99206,67888,71790,0,0,44494,2474,17768,7054
2014,전남,0.7,0.2,0.4,1.5,0,0,1.1,1.4,2.7,0.8,1532,206,288,1038,0,0,457,37,489,55,230258,95720,64300,70238,0,0,42419,2726,18087,7006
2015,전남,0.6,0.2,0.4,1.3,0,0,0.9,1.5,2.5,0.8,1296,197,216,883,0,0,357,38,434,54,221581,94368,58806,68407,0,0,41564,2541,17491,6811
2016,전남,0.6,0.2,0.4,1.3,0,0,0.9,0.9,2.6,0.4,1295,227,188,880,0,0,385,22,445,28,213135,92981,53181,66973,0,0,40758,2584,16966,6665
2017,전남,0.7,0.3,0.4,1.4,0,0,0.9,1.7,2.9,0.7,1385,289,193,903,0,0,357,45,457,44,206506,93233,49642,63631,0,0,38732,2587,16021,6291
2018,전남,0.7,0.3,0.4,1.5,0,0,1,1.4,2.9,0.9,1363,306,184,873,0,0,356,36,427,54,199653,94134,47270,58249,0,0,35342,2536,14609,5762
2019,전남,0.7,0.3,0.4,1.5,0,0,1,1.5,3.1,0.6,1302,307,199,796,0,0,313,40,410,33,193370,94952,45663,52755,0,0,31870,2606,13063,5216
1999,경북,0.8,0.2,0.6,2,1.2,3.4,0,0,0,0,3764,409,667,2688,948,1740,0,0,0,0,456611,217581,105317,133713,82254,51459,0,0,0,0
2000,경북,0.8,0.2,0.6,2.2,1.2,4,0,0,0,0,3597,340,574,2683,911,1772,0,0,0,0,440850,217710,102583,120557,75778,44779,0,0,0,0
2001,경북,0.9,0.2,0.6,2.5,1.4,4.3,0,0,0,0,3725,428,627,2670,951,1719,0,0,0,0,426299,217985,99548,108766,69069,39697,0,0,0,0
2002,경북,0.8,0.3,0.5,2,1.2,3.5,0,0,0,0,3170,683,495,1992,755,1237,0,0,0,0,416462,217903,98199,100360,65401,34959,0,0,0,0
2003,경북,0.7,0.4,0.5,1.6,0.9,3,0,0,0,0,2907,889,445,1573,598,975,0,0,0,0,411315,216719,96960,97636,65438,32198,0,0,0,0
2004,경북,0.5,0.2,0.4,1.3,0.7,2.5,0,0,0,0,2055,436,416,1203,458,745,0,0,0,0,406320,212588,98613,95119,64843,30276,0,0,0,0
2005,경북,0.5,0.2,0.4,1.2,0.7,2.3,0,0,0,0,2014,430,428,1156,476,680,0,0,0,0,401198,206141,100807,94250,64495,29755,0,0,0,0
2006,경북,0.5,0.2,0.5,1.4,0.8,2.6,0,0,0,0,2151,372,501,1278,526,752,0,0,0,0,397826,201415,102754,93657,64789,28868,0,0,0,0
2007,경북,0.6,0.2,0.5,1.6,0.9,3,0,0,0,0,2405,410,492,1503,615,888,0,0,0,0,393014,196170,101636,95208,65845,29363,0,0,0,0
2008,경북,0.6,0.2,0.6,1.5,0.9,2.9,0,0,0,0,2399,348,562,1489,628,861,0,0,0,0,384298,187309,100182,96807,67237,29570,0,0,0,0
2009,경북,0.6,0.1,0.5,1.6,1,3.1,0,0,0,0,2259,218,446,1595,651,944,0,0,0,0,372590,175577,98685,98328,68317,30011,0,0,0,0
2010,경북,0.7,0.2,0.6,1.7,0,0,0,0,0,0,2667,402,568,1697,0,0,880,59,709,49,359488,164230,97491,97767,68826,28941,0,0,0,0
2011,경북,0.8,0.3,0.5,1.8,0,0,1.3,1.6,3.7,1.5,2658,446,486,1726,0,0,937,55,662,72,345747,155146,93999,96602,0,0,70192,3339,18136,4935
2012,경북,0.7,0.2,0.5,1.6,0,0,1.2,2.2,3.3,0.7,2358,321,492,1545,0,0,845,67,583,50,332449,144918,91614,95917,0,0,67603,3061,17900,7353
2013,경북,0.7,0.2,0.5,1.4,0,0,1.2,0.9,2.9,0.5,2091,331,424,1336,0,0,761,36,496,43,319383,135237,89128,95018,0,0,65963,3833,16993,8229
2014,경북,0.6,0.2,0.4,1.2,0,0,1,1.1,2.5,0.6,1778,265,364,1149,0,0,644,42,417,46,308753,131307,85118,92328,0,0,63451,3859,16866,8152
2015,경북,0.5,0.3,0.4,1.1,0,0,0.8,1.1,2.3,0.6,1616,332,284,1000,0,0,517,41,395,47,297562,129743,77581,90238,0,0,61443,3889,16951,7955
2016,경북,0.6,0.3,0.4,1.3,0,0,0.9,1.3,2.8,0.8,1711,324,261,1126,0,0,561,50,452,63,286749,127825,70468,88456,0,0,59972,3919,16416,8149
2017,경북,0.6,0.3,0.4,1.3,0,0,1,1.4,2.8,0.5,1668,331,253,1084,0,0,561,53,427,43,278474,127642,65906,84926,0,0,57666,3907,15377,7976
2018,경북,0.7,0.3,0.5,1.4,0,0,1,1.3,3.5,0.7,1830,412,299,1119,0,0,525,50,489,55,270775,129290,63540,77945,0,0,52496,3967,13964,7518
2019,경북,0.7,0.3,0.5,1.6,0,0,1.1,0.8,4,0.6,1845,436,299,1110,0,0,521,31,513,45,264039,131374,61393,71272,0,0,47473,3933,12851,7015
1999,경남,0.8,0.2,0.8,2,1,3.6,0,0,0,0,4335,496,952,2887,874,2013,0,0,0,0,535645,262965,126069,146611,90314,56297,0,0,0,0
2000,경남,0.9,0.3,0.8,2.2,1.2,4,0,0,0,0,4783,760,968,3055,1034,2021,0,0,0,0,528642,269119,122943,136580,86536,50044,0,0,0,0
2001,경남,1,0.4,0.7,2.3,1.4,4,0,0,0,0,4949,1198,880,2871,1137,1734,0,0,0,0,519979,273581,120808,125590,82181,43409,0,0,0,0
2002,경남,0.8,0.3,0.5,2.1,1.2,4.1,0,0,0,0,4097,936,654,2507,969,1538,0,0,0,0,516783,278337,120998,117448,80206,37242,0,0,0,0
2003,경남,0.9,0.7,0.5,1.5,0.9,3.2,0,0,0,0,4522,2104,656,1762,686,1076,0,0,0,0,519966,283632,121832,114502,80700,33802,0,0,0,0
2004,경남,0.5,0.3,0.5,1.4,0.8,2.7,0,0,0,0,2840,712,603,1525,676,849,0,0,0,0,520368,280491,127439,112438,80836,31602,0,0,0,0
2005,경남,0.5,0.2,0.5,1.2,0.8,2.4,0,0,0,0,2787,679,695,1413,690,723,0,0,0,0,521379,275274,132949,113156,82728,30428,0,0,0,0
2006,경남,0.6,0.4,0.5,1.3,0.9,2.5,0,0,0,0,3279,1046,741,1492,768,724,0,0,0,0,522888,270349,138384,114155,84764,29391,0,0,0,0
2007,경남,0.6,0.3,0.6,1.5,1.1,2.7,0,0,0,0,3369,859,777,1733,942,791,0,0,0,0,522836,264776,138629,119431,89660,29771,0,0,0,0
2008,경남,0.6,0.2,0.5,1.6,1.1,3.1,0,0,0,0,3291,592,748,1951,1039,912,0,0,0,0,517056,254368,138290,124398,94647,29751,0,0,0,0
2009,경남,0.6,0.2,0.5,1.6,1.1,3.1,0,0,0,0,3177,368,753,2056,1115,941,0,0,0,0,507083,240129,137403,129551,99379,30172,0,0,0,0
2010,경남,0.8,0.2,0.7,1.7,0,0,0,0,0,0,3715,569,898,2248,0,0,1425,83,740,0,493422,227813,135600,130009,100024,29985,0,0,0,0
2011,경남,0.8,0.3,0.6,1.8,0,0,1.3,2.1,3.8,0,3787,646,810,2331,0,0,1395,59,758,119,477086,215383,131677,130026,0,0,107455,2799,19772,0
2012,경남,0.7,0.3,0.6,1.6,0,0,1.3,1.6,3.5,2.1,3389,564,736,2089,0,0,1273,44,625,147,459039,202320,127510,129209,0,0,101506,2742,18077,6884
2013,경남,0.7,0.3,0.5,1.3,0,0,1.1,0.6,2.7,1.4,2898,567,651,1680,0,0,1053,16,486,125,442189,190166,124566,127457,0,0,97367,2746,18130,9214
2014,경남,0.6,0.3,0.4,1.1,0,0,0.9,1.3,2.1,1.5,2379,487,476,1416,0,0,884,36,367,129,429226,186973,118400,123853,0,0,95071,2742,17420,8620
2015,경남,0.5,0.3,0.4,1.1,0,0,1,1.2,2.1,1.2,2246,491,399,1356,0,0,880,34,338,104,415891,187075,108732,120084,0,0,92447,2775,16474,8388
2016,경남,0.6,0.2,0.3,1.3,0,0,1.1,0.9,2.2,1.5,2263,440,342,1481,0,0,992,25,341,123,402301,185325,99401,117575,0,0,91325,2809,15201,8240
2017,경남,0.6,0.3,0.4,1.3,0,0,1,1.3,2.9,1.4,2361,537,358,1466,0,0,902,35,417,112,392080,186619,93843,111618,0,0,86618,2757,14311,7932
2018,경남,0.6,0.3,0.4,1.3,0,0,1.1,1,2.8,1.2,2305,581,374,1350,0,0,859,28,375,88,384328,191016,90851,102461,0,0,79126,2742,13184,7409
2019,경남,0.6,0.3,0.5,1.4,0,0,1.1,1.4,3.4,1.1,2299,588,410,1301,0,0,773,40,411,77,377123,194606,88668,93849,0,0,72160,2853,11995,6841
1999,제주,0.9,0.2,0.7,2.2,0.7,4.4,0,0,0,0,797,84,143,570,117,453,0,0,0,0,91767,44510,21274,25983,15613,10370,0,0,0,0
2000,제주,0.9,0.2,0.7,2.2,1.2,3.8,0,0,0,0,777,101,148,528,173,355,0,0,0,0,91180,46778,20537,23865,14534,9331,0,0,0,0
2001,제주,0.9,0.3,0.7,2.5,1,5,0,0,0,0,842,165,138,539,136,403,0,0,0,0,90318,48850,19963,21505,13445,8060,0,0,0,0
2002,제주,0.9,0.4,0.4,2.6,0.9,5.4,0,0,0,0,800,198,80,522,118,404,0,0,0,0,91177,50770,20178,20229,12760,7469,0,0,0,0
2003,제주,1,0.7,0.7,2,0.7,4.4,0,0,0,0,910,378,140,392,84,308,0,0,0,0,92278,52144,20719,19415,12356,7059,0,0,0,0
2004,제주,0.6,0.2,0.6,1.7,0.7,3.4,0,0,0,0,531,90,123,318,84,234,0,0,0,0,93446,52359,22207,18880,12006,6874,0,0,0,0
2005,제주,0.5,0.2,0.4,1.6,0.6,3.4,0,0,0,0,491,81,99,311,79,232,0,0,0,0,94562,51671,23856,19035,12171,6864,0,0,0,0
2006,제주,0.6,0.2,0.5,1.8,0.6,3.7,0,0,0,0,591,117,132,342,81,261,0,0,0,0,95558,50791,25252,19515,12479,7036,0,0,0,0
2007,제주,0.7,0.2,0.7,1.9,0.6,4.1,0,0,0,0,657,87,177,393,87,306,0,0,0,0,96650,50047,25667,20936,13485,7451,0,0,0,0
2008,제주,0.8,0.2,0.7,2.1,0.6,4.7,0,0,0,0,734,90,182,462,91,371,0,0,0,0,96303,48291,25708,22304,14488,7816,0,0,0,0
2009,제주,0.7,0.2,0.5,1.9,0.8,3.9,0,0,0,0,654,83,135,436,118,318,0,0,0,0,94836,46028,25372,23436,15349,8087,0,0,0,0
2010,제주,0.8,0.3,0.8,1.8,0,0,0,0,0,0,767,132,195,440,0,0,250,5,185,0,93046,44035,25204,23807,15754,8053,0,0,0,0
2011,제주,0.7,0.3,0.7,1.6,0,0,1.2,1.8,3,0,676,128,163,385,0,0,234,7,138,6,90568,42143,24556,23869,0,0,18838,379,4652,0
2012,제주,0.7,0.2,0.5,1.6,0,0,1.4,0.8,2.5,0.8,608,95,126,387,0,0,259,3,119,6,88028,40172,24059,23797,0,0,17964,376,4716,741
2013,제주,0.7,0.2,0.6,1.6,0,0,1.5,0.5,2,0.8,587,86,132,369,0,0,267,2,94,6,85835,38235,23887,23713,0,0,17841,389,4773,710
2014,제주,0.6,0.3,0.5,1.1,0,0,1.1,1,1.3,0.6,483,109,120,254,0,0,194,4,52,4,84516,37915,23380,23221,0,0,18063,389,4082,687
2015,제주,0.5,0.3,0.6,0.9,0,0,0.8,1.6,1.4,0,442,105,125,212,0,0,148,6,58,0,83199,38164,22051,22984,0,0,17916,383,4008,677
2016,제주,0.5,0.3,0.5,0.9,0,0,0.9,2,1.1,0,438,132,97,209,0,0,157,8,44,0,81837,38272,20629,22936,0,0,17929,397,3922,688
2017,제주,0.6,0.4,0.5,0.9,0,0,0.9,1.5,1,0,471,162,99,210,0,0,166,6,38,0,80926,38901,19603,22422,0,0,18217,402,3803,0
2018,제주,0.6,0.4,0.6,1.1,0,0,1,1.5,1.3,0,523,180,112,231,0,0,178,6,47,0,80490,40096,19306,21088,0,0,17089,399,3600,0
2019,제주,0.6,0.4,0.6,1.2,0,0,1,2.1,1.9,0,513,156,120,237,0,0,168,8,61,0,79674,41068,18899,19707,0,0,16027,390,3290,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통계 도움말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. 조사 기준일 

- 학생수: 해당 연도 4월 1일 

- 학업중단자: 해당 연도 3월 1일 ~ 차년도 2월 말(학년도 기준) 

2. 출처 : 한국교육개발원 교육통계서비스(kess.kedi.re.kr)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
